sku,weight,product_online,meta_title,meta_keywords,meta_description,created_at,updated_at,country_of_manufacture,additional_attributes
ENGMOAKIB514-SAMPLE,1,2,,,,"11/15/18, 11:38 AM","10/15/21, 1:03 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00"
ENGBC712,70,1,"Jatoba Brazilian Cherry 7-1/2"" x 5/8"" | Triangulo Extra Wide Engineered Wood Flooring | Unique Wood Floors",,,"11/15/18, 11:50 AM","1/29/22, 11:41 AM",,"am_shipping_type=Engineered Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=27.07,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Nail Down / Floating / Glue Down,is_recurring=No,jankahardness=2690 psi,length=Random to 7',manufacturer=Patagonia,mico_carton_min=1,mico_carton_unit=27.07,mico_carton_unit_suff=Square Feet,no_basement_installation=No,othernames=Jatoba,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=ENGBC712-SAMPLE,sample_title_type=0,stain=Natural,structure=Engineered Ply,texture=Smooth,thickness=5/8"",waste_percent=5,wear_layer=3mm,width=7-1/2"",wood=Brazilian Cherry"
ENGBC712-SAMPLE,1,2,,,,"11/15/18, 11:58 AM","1/29/22, 11:42 AM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=5"""
ESPC021949,75,1,Hemlock Luxury Vinyl | Flooring Minneapolis St. Paul MN | Unique Wood Floors,,,"12/15/18, 4:13 PM","10/11/22, 12:22 PM",,"am_shipping_type=Engineered Wood,color=Dark,connection=Unilin Drop Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.03,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Floating,is_recurring=No,length=Uniform 48"",mico_carton_min=1,mico_carton_unit=24.03,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=ESPC021949-SAMPLE,sample_title_type=0,stain=Hemlock Embossed,structure=SPC,texture=Distressed/Aged,thickness=7 mm total (1.5 mm pad),waste_percent=5,wear_layer=0.5 mm / 20 mil,width=7.2"",wood=Luxury Vinyl"
SPC-M80604-010,75,1,Gritstone Luxury Vinyl | Flooring Minneapolis St. Paul MN | Unique Wood Floors,,,"12/15/18, 4:32 PM","12/9/20, 11:44 AM",,"am_shipping_type=Engineered Wood,color=Light,connection=Unilin Drop Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=18.91,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Floating,is_recurring=No,length=Uniform 48"",mico_carton_min=1,mico_carton_unit=18.91,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=SPC-M80604-010-SAMPLE,sample_title_type=0,stain=Gritstone EIR,structure=SPC,texture=Distressed/Aged,thickness=7 mm,waste_percent=5,wear_layer=0.5 mm / 20 mil,width=7"",wood=Luxury Vinyl"
ESPC021948,75,1,Stony Oak | Unique Wood Floors,,,"12/15/18, 4:41 PM","1/21/22, 4:18 PM",,"am_shipping_type=Engineered Wood,color=Dark,connection=Unilin Drop Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.03,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Floating,is_recurring=No,length=Uniform 48"",mico_carton_min=1,mico_carton_unit=24.03,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=ESPC021948-SAMPLE,sample_title_type=0,stain=Stony Oak Embossed,structure=SPC,texture=Distressed/Aged,thickness=7 mm,waste_percent=5,wear_layer=0.5 mm / 20 mil,width=7.2"",wood=Luxury Vinyl"
ENGBP514-SAMPLE,1,1,,,,"10/11/18, 3:18 PM","7/20/20, 12:23 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=5"""
ESPC022099,75,1,Linen | Unique Wood Floors,,,"12/15/18, 4:44 PM","7/11/22, 4:45 PM",,"am_shipping_type=Engineered Wood,color=Light,connection=Unilin Drop Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.03,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Floating,is_recurring=No,length=Uniform 48"",mico_carton_min=1,mico_carton_unit=24.03,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=ESPC022099-SAMPLE,sample_title_type=0,stain=Linen EIR,structure=SPC,texture=Distressed/Aged,thickness=7 mm,waste_percent=5,wear_layer=0.5 mm / 20 mil,width=7.2"",wood=Luxury Vinyl"
EP12C-MP35,40,1,Centurion Collection Maple Active Flooring | Prefinished Engineered Hardwood Floors | Centurion Collection,,,"12/22/18, 11:04 AM","8/27/20, 12:15 PM",,"am_shipping_type=Engineered Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=20.92,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Nail Down / Floating / Glue Down,is_recurring=No,jankahardness=1450,length=Random 70.07"",manufacturer=Centurion,mico_carton_min=1,mico_carton_unit=20.92,mico_carton_unit_suff=Square Feet,no_basement_installation=No,othernames=Character Maple,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=EP12C-MP35-S,sample_title_type=0,stain=Character,structure=Engineered Ply,texture=Smooth,thickness=1/2"",waste_percent=7.00,wear_layer=3 mm,width=3-1/2"",wood=Maple"
ESPC021949-SAMPLE,1,1,,,,"12/26/18, 11:42 AM","7/16/20, 11:36 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=Yes,is_recurring=No,no_basement_installation=Yes,popularity_by_sells=1,pr_cartreservation_enable=Disabled"
